City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,Uyemskiy,-19.5836,-65.7531,282.09,71,100,2.1,BO,2022-03-11 01:20:19
151,Uyemskiy,71.9167,114.0833,239.41,99,100,1.95,RU,2022-03-11 01:20:20
152,Uyemskiy,33.3317,-105.673,283.13,20,0,10.29,US,2022-03-11 01:20:21
153,Uyemskiy,39.0851,17.1178,281.03,61,40,6.37,IT,2022-03-11 01:20:21
154,Uyemskiy,63.05,179.3167,260.81,74,0,7.16,RU,2022-03-11 01:20:22
155,Uyemskiy,71.0357,27.8492,276.74,89,100,16.69,NO,2022-03-11 01:20:22
156,Uyemskiy,35.1333,140.3,287.92,49,1,5.73,JP,2022-03-11 01:20:23
157,Uyemskiy,42.2506,-75.833,277.04,68,0,1.54,US,2022-03-11 01:20:23
158,Uyemskiy,-22.35,16.1333,298.07,56,60,2.97,NA,2022-03-11 01:20:24
159,Uyemskiy,-33.6971,-53.4616,292.39,74,100,5.05,UY,2022-03-11 01:20:24
160,Uyemskiy,25.3833,-101.45,291.66,7,3,2.62,MX,2022-03-11 01:20:25
161,Uyemskiy,-37.6167,-73.65,287.8,87,6,9.73,CL,2022-03-11 01:20:26
162,Uyemskiy,47.4736,-94.8803,263.09,68,40,4.63,US,2022-03-11 01:20:26
163,Uyemskiy,69.3833,178.4167,262.72,78,2,3.43,RU,2022-03-11 01:20:27
164,Uyemskiy,-38.5473,-58.7368,289.16,66,51,4.69,AR,2022-03-11 01:17:30
165,Uyemskiy,58.9564,126.2925,258.95,92,100,1.05,RU,2022-03-11 01:20:27
166,Uyemskiy,6.1241,81.1185,297.73,83,90,2.81,LK,2022-03-11 01:20:28
167,Uyemskiy,-23.1333,150.7333,302.03,74,35,6.15,AU,2022-03-11 01:20:29
168,Uyemskiy,-14.2667,50.1667,297.67,92,100,2.47,MG,2022-03-11 01:20:29
169,Uyemskiy,-38.3739,-60.2798,286.53,72,12,3.08,AR,2022-03-11 01:20:30
170,Uyemskiy,53.9599,81.2093,255.81,93,96,3.35,RU,2022-03-11 01:20:30
171,Uyemskiy,12.0564,-61.7485,299.97,74,75,9.26,GD,2022-03-11 01:19:55
172,Uyemskiy,18.6853,12.9164,292.98,24,0,5.06,NE,2022-03-11 01:20:31
173,Uyemskiy,16.4333,80.55,296.13,77,0,0.8,IN,2022-03-11 01:20:32
174,Uyemskiy,-33.0117,17.9442,291.18,87,3,2.79,ZA,2022-03-11 01:20:32
175,Uyemskiy,34.5667,76.1,255.68,79,86,1.14,IN,2022-03-11 01:20:33
176,Uyemskiy,-13.7,-76.2167,294.18,83,0,2.57,PE,2022-03-11 01:20:34
177,Uyemskiy,-34.0033,24.7314,290.78,95,0,2.37,ZA,2022-03-11 01:20:34
178,Uyemskiy,78.2186,15.6401,263.31,92,100,3.7,SJ,2022-03-11 01:20:35
179,Uyemskiy,26.326,43.975,298.4,32,100,4.13,SA,2022-03-11 01:20:35
180,Uyemskiy,17.4924,44.1277,292.51,39,91,2.99,SA,2022-03-11 01:20:36
181,Uyemskiy,45.3873,4.2907,279.43,76,75,3.09,FR,2022-03-11 01:20:36
182,Uyemskiy,39.1834,-84.5333,280.98,62,0,0.0,US,2022-03-11 01:20:37
183,Uyemskiy,14.9215,-23.5087,293.73,79,1,7.57,CV,2022-03-11 01:20:38
184,Uyemskiy,46.5389,138.3297,277.61,90,20,2.59,RU,2022-03-11 01:21:38
185,Uyemskiy,-22.116,14.2845,292.31,85,97,2.17,NA,2022-03-11 01:21:39
186,Uyemskiy,64.2539,-15.2082,280.53,93,100,13.04,IS,2022-03-11 01:21:39
187,Uyemskiy,-15.8631,-38.8828,298.57,83,11,2.76,BR,2022-03-11 01:21:40
188,Uyemskiy,65.6145,-37.6368,268.56,76,100,7.98,GL,2022-03-11 01:21:41
189,Uyemskiy,65.282,-126.8329,252.17,59,75,2.57,CA,2022-03-11 01:21:41
190,Uyemskiy,41.1702,75.8106,269.98,60,100,1.09,KG,2022-03-11 01:21:42
191,Uyemskiy,-21.3393,55.4781,297.97,79,0,3.09,RE,2022-03-11 01:21:42
192,Uyemskiy,45.0205,-93.218,268.6,53,0,4.12,US,2022-03-11 01:21:43
193,Uyemskiy,-18.0607,13.84,295.77,56,53,1.13,NA,2022-03-11 01:21:44
194,Uyemskiy,8.2,-59.7833,295.77,97,100,1.48,GY,2022-03-11 01:21:44
195,Uyemskiy,53.1333,132.9,262.29,93,100,2.55,RU,2022-03-11 01:21:45
