City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
231,San Ignacio,BZ,304.53,clear sky,17.1561,-89.0714,Rainforest Haven Inn
233,Atambua,ID,297.92,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
235,Manado,ID,297.58,light rain,1.487,124.8455,Aryaduta Hotel
236,Hong Kong,HK,297.69,overcast clouds,22.2855,114.1577,Mini Hotel Central
239,Port Keats,AU,299.39,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
243,Phayakkhaphum Phisai,TH,297.82,light rain,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
244,Isangel,VU,301.88,overcast clouds,-19.55,169.2667,Tanna Lodge
248,Labuhan,ID,299.43,overcast clouds,-6.8844,112.2051,DoubleFAG
249,Camocim,BR,298.47,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
250,Marsh Harbour,BS,298.18,clear sky,26.5412,-77.0636,Abaco Beach Resort
252,Lompoc,US,300.38,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
253,Tonj,SS,300.26,few clouds,7.2737,28.6822,Lakan Hotel
255,Chum Phae,TH,297.89,overcast clouds,16.5443,102.0992,Major Grand
258,Voh,NC,302.31,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
261,Neiafu,TO,301.29,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
262,Majene,ID,298.96,light rain,-3.5403,118.9707,Kost Putri RABBANI
266,Senador José Porfírio,BR,297.08,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
274,Piaçabuçu,BR,299.04,broken clouds,-10.4056,-36.4344,Piaçabuçu News
275,Cap Malheureux,MU,298.97,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
284,Bitung,ID,297.62,overcast clouds,1.4451,125.1824,K2 Lembeh
287,Laguna,US,297.2,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
292,Makakilo City,US,299.82,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
293,Coronado,US,301.53,clear sky,32.6859,-117.1831,Hilton San Diego Bayfront
294,Cabedelo,BR,299.98,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
296,Uruçuí,BR,300.35,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
298,Tuburan,PH,300.98,overcast clouds,6.6439,122.2736,GT Site
299,Manokwari,ID,300.66,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
303,Davila,PH,298.99,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
307,Amahai,ID,300.01,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
311,Bambous Virieux,MU,298.83,few clouds,-20.3428,57.7575,Casa Tia Villa
312,Bacungan,PH,299.74,overcast clouds,9.9106,118.7022,Sumayang Property
315,Béboto,TD,297.8,scattered clouds,8.2668,16.939,
316,Tabatinga,BR,300.15,light rain,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
320,Grand Gaube,MU,298.92,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
321,Puerto Escondido,MX,303.61,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
325,Sarangani,PH,301.54,overcast clouds,5.4033,125.4636,Ballistic Islet
328,Kirakira,SB,301.41,overcast clouds,-10.4544,161.9205,SanBiz Lodge
334,Banda Aceh,ID,299.18,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
339,Gamba,GA,298.74,light rain,-2.65,10.0,
342,Vila Velha,BR,299.23,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
347,Paka,MY,297.86,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
348,Caravelas,BR,298.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
359,Cabo San Lucas,MX,300.71,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
361,Ribas do Rio Pardo,BR,299.16,overcast clouds,-20.4431,-53.7592,Pousada Avenida
368,Hervey Bay,AU,297.05,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
373,Sinnamary,GF,298.67,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
375,Mahibadhoo,MV,301.09,scattered clouds,3.7833,72.9667,Omadhoo Inn
377,Gambiran,ID,297.32,overcast clouds,-6.7988,111.4951,GUBUK KU
379,Bintulu,MY,297.15,overcast clouds,3.1667,113.0333,900 Boutique INN
380,Sorong,ID,299.42,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
385,Bubaque,GW,297.97,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
386,Harper,LR,299.91,scattered clouds,4.375,-7.7169,Screensaver
387,Gladstone,AU,299.7,overcast clouds,-23.85,151.25,Highpoint International Hotel
388,Niono,ML,302.35,clear sky,14.2526,-5.993,Hôtel Campement
398,Kilindoni,TZ,300.58,broken clouds,-7.9139,39.6668,Bustani B&B
399,Oranjestad,AW,300.12,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
400,Cabadiangan,PH,300.16,broken clouds,9.7531,122.4739,Kipot
403,Savalou,BJ,301.9,scattered clouds,7.9281,1.9756,Hotel F&F
405,Cidreira,BR,298.18,broken clouds,-30.1811,-50.2056,Hotel Castelo
408,Florida,US,301.14,clear sky,28.7505,-82.5001,Sportsmens Cove
409,Iberia,US,297.19,clear sky,29.9502,-91.7507,back to back rv park
410,Olinda,BR,301.0,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
411,Cockburn Town,TC,298.86,clear sky,21.4612,-71.1419,Osprey Beach Hotel
416,Port Macquarie,AU,297.53,clear sky,-31.4333,152.9167,Rydges Port Macquarie
417,Cajati,BR,298.09,heavy intensity rain,-24.7361,-48.1228,Lanchonete e Hotel Cortesia
418,Saint-Pierre,RE,297.97,clear sky,-21.3393,55.4781,Lindsey Hôtel
423,Chajul,GT,297.17,clear sky,15.4853,-91.0342,Hotel San Gaspar
