City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
252,Lompoc,34.6391,-120.4579,300.38,63,6,6.26,US,2022-03-18 23:00:58,clear sky
253,Tonj,7.2737,28.6822,300.26,16,21,2.23,SS,2022-03-18 23:00:58,few clouds
254,Nizhnevartovsk,60.9344,76.5531,269.16,80,0,3.13,RU,2022-03-18 23:00:59,clear sky
255,Chum Phae,16.5443,102.0992,297.89,69,98,0.53,TH,2022-03-18 23:00:59,overcast clouds
256,Tuktoyaktuk,69.4541,-133.0374,250.51,94,100,3.81,CA,2022-03-18 23:01:00,overcast clouds
257,Faya,18.3851,42.4509,287.08,67,7,1.18,SA,2022-03-18 23:01:01,clear sky
258,Voh,-20.9667,164.7,302.31,69,85,0.69,NC,2022-03-18 23:01:01,overcast clouds
259,Yagodnoye,62.55,149.6667,253.15,67,84,1.26,RU,2022-03-18 23:01:02,broken clouds
260,Ayan,56.45,138.1667,263.76,93,100,3.57,RU,2022-03-18 23:01:02,light snow
261,Neiafu,-18.65,-173.9833,301.29,75,100,9.31,TO,2022-03-18 23:01:03,overcast clouds
262,Majene,-3.5403,118.9707,298.96,84,100,2.77,ID,2022-03-18 23:01:04,light rain
263,Itoman,26.1247,127.6694,293.16,68,75,3.09,JP,2022-03-18 23:01:04,broken clouds
264,Bellmead,31.594,-97.1089,293.75,25,0,6.17,US,2022-03-18 22:59:32,clear sky
265,Nouadhibou,20.931,-17.0347,290.17,81,96,9.29,MR,2022-03-18 23:01:05,overcast clouds
266,Senador José Porfírio,-2.5908,-51.9542,297.08,95,98,1.55,BR,2022-03-18 23:01:06,overcast clouds
267,Richards Bay,-28.783,32.0377,291.8,83,39,1.86,ZA,2022-03-18 23:01:06,scattered clouds
268,Hasaki,35.7333,140.8333,280.37,70,100,3.28,JP,2022-03-18 23:01:07,overcast clouds
269,Shelburne,44.0787,-80.2041,277.72,81,100,4.71,CA,2022-03-18 23:01:08,overcast clouds
270,Ketchikan,55.3422,-131.6461,277.12,97,100,5.0,US,2022-03-18 23:01:08,moderate rain
271,Mayya,61.7333,130.2811,245.77,98,98,0.63,RU,2022-03-18 23:01:09,overcast clouds
272,Airai,-8.9266,125.4092,291.64,84,94,0.51,TL,2022-03-18 23:01:09,overcast clouds
273,Kinsale,51.7075,-8.5306,281.8,93,20,5.66,IE,2022-03-18 22:57:51,few clouds
274,Piaçabuçu,-10.4056,-36.4344,299.04,78,68,3.77,BR,2022-03-18 23:02:10,broken clouds
275,Cap Malheureux,-19.9842,57.6142,298.97,90,80,1.69,MU,2022-03-18 23:02:11,broken clouds
276,Puri,19.8,85.85,296.44,71,62,4.7,IN,2022-03-18 23:02:11,broken clouds
277,Christiansburg,37.1298,-80.4089,291.16,58,40,2.57,US,2022-03-18 23:02:12,scattered clouds
278,Ossora,59.2353,163.0719,268.61,92,98,1.99,RU,2022-03-18 23:02:12,overcast clouds
279,Honningsvåg,70.9821,25.9704,276.19,79,73,17.17,NO,2022-03-18 23:02:13,broken clouds
280,Dom Pedrito,-30.9828,-54.6731,290.88,96,78,7.61,BR,2022-03-18 23:01:21,broken clouds
281,Hualmay,-11.0964,-77.6139,295.97,77,6,4.45,PE,2022-03-18 23:02:14,clear sky
282,Pevek,69.7008,170.3133,247.94,87,9,4.22,RU,2022-03-18 22:53:20,clear sky
283,Narasannapeta,18.4167,84.05,295.53,83,23,0.86,IN,2022-03-18 23:02:15,few clouds
284,Bitung,1.4451,125.1824,297.62,81,99,0.27,ID,2022-03-18 23:02:16,overcast clouds
285,Glendive,47.1053,-104.7125,286.87,38,75,8.23,US,2022-03-18 23:02:16,broken clouds
286,Saskatoon,52.1168,-106.6345,277.03,93,22,4.02,CA,2022-03-18 23:02:17,few clouds
287,Laguna,38.421,-121.4238,297.2,36,0,2.57,US,2022-03-18 23:02:17,clear sky
288,Russellville,35.2784,-93.1338,281.56,73,100,8.49,US,2022-03-18 23:02:18,overcast clouds
289,Ortona,42.3496,14.4039,284.47,80,100,0.98,IT,2022-03-18 23:02:19,overcast clouds
290,Gritsovskiy,54.1376,38.1604,269.41,95,100,0.61,RU,2022-03-18 23:02:20,overcast clouds
291,Kondoa,-4.9,35.7833,288.57,94,79,0.2,TZ,2022-03-18 23:02:21,broken clouds
292,Makakilo City,21.3469,-158.0858,299.82,60,53,7.44,US,2022-03-18 23:02:21,broken clouds
293,Coronado,32.6859,-117.1831,301.53,47,0,4.47,US,2022-03-18 23:02:22,clear sky
294,Cabedelo,-6.9811,-34.8339,299.98,74,92,4.83,BR,2022-03-18 23:02:22,overcast clouds
295,Thompson,55.7435,-97.8558,278.24,56,75,4.12,CA,2022-03-18 22:53:26,broken clouds
296,Uruçuí,-7.2294,-44.5561,300.35,69,99,0.76,BR,2022-03-18 23:02:24,overcast clouds
297,Umluj,25.0213,37.2685,292.98,48,0,5.29,SA,2022-03-18 23:01:48,clear sky
298,Tuburan,6.6439,122.2736,300.98,75,93,1.86,PH,2022-03-18 23:02:25,overcast clouds
299,Manokwari,-0.8667,134.0833,300.66,76,61,1.56,ID,2022-03-18 23:02:25,broken clouds
300,Ust-Tsilma,65.441,52.1498,268.77,91,59,2.66,RU,2022-03-18 23:02:26,broken clouds
301,Sibu,2.3,111.8167,295.8,99,97,0.68,MY,2022-03-18 23:02:27,overcast clouds
302,Varzelândia,-15.7014,-44.0275,293.95,46,0,2.43,BR,2022-03-18 23:02:28,light rain
303,Davila,18.4726,120.5763,298.99,80,40,4.81,PH,2022-03-18 23:02:28,scattered clouds
304,Adrar,20.5022,-10.0711,293.26,29,2,4.66,MR,2022-03-18 23:02:22,clear sky
305,Tucuruí,-3.7661,-49.6725,296.99,97,94,1.15,BR,2022-03-18 23:02:29,moderate rain
306,Chernyshevskiy,63.0128,112.4714,253.44,98,100,2.49,RU,2022-03-18 23:02:30,overcast clouds
307,Amahai,-3.3333,128.9167,300.01,82,98,1.39,ID,2022-03-18 23:02:30,overcast clouds
308,Connersville,39.6412,-85.1411,288.33,89,100,3.13,US,2022-03-18 23:02:31,overcast clouds
309,Karlskrona,56.1616,15.5866,277.4,76,0,3.66,SE,2022-03-18 23:02:31,clear sky
310,Peniche,39.3558,-9.3811,287.65,68,25,6.26,PT,2022-03-18 23:02:32,scattered clouds
311,Bambous Virieux,-20.3428,57.7575,298.83,94,20,1.54,MU,2022-03-18 22:53:25,few clouds
312,Bacungan,9.9106,118.7022,299.74,80,99,1.39,PH,2022-03-18 23:02:33,overcast clouds
313,Uvinza,-5.1036,30.3911,290.56,96,55,0.18,TZ,2022-03-18 23:02:33,broken clouds
314,Yamethin,20.4333,96.15,296.25,35,22,2.11,MM,2022-03-18 23:02:34,few clouds
